scenario_id,rho,qH,tau,method,init_seed,selected_idx,reference_idx,same_policy_as_reference,replications,viol_cost,viol_B_H,viol_B_L,upper_cost,upper_B_H,upper_B_L,max_upper,certified,mean_cost_excess,median_cost_excess,p90_cost_excess,max_cost_excess,mean_delta_B_H,mean_delta_B_L
BG03,0.7,0.5,0.5,Guarded-GP,3,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG03,0.7,0.5,0.5,Guarded-GP,4,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,DR-BGS,0,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,DR-BGS,1,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,DR-BGS,2,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,DR-BGS,3,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,DR-BGS,4,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,Guarded-GP,0,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,Guarded-GP,1,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,Guarded-GP,2,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,Guarded-GP,3,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG04,0.7,0.5,2.0,Guarded-GP,4,0,0,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,DR-BGS,0,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,DR-BGS,1,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,DR-BGS,2,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,DR-BGS,3,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,DR-BGS,4,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,Guarded-GP,0,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,Guarded-GP,1,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,Guarded-GP,2,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,Guarded-GP,3,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG05,0.7,0.8,0.5,Guarded-GP,4,10,10,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,DR-BGS,0,21,21,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,DR-BGS,1,21,21,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,DR-BGS,2,21,21,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,DR-BGS,3,21,21,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,DR-BGS,4,21,21,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
BG06,0.7,0.8,2.0,Guarded-GP,0,21,21,1,150,0,0,0,0.026926471132857364,0.026926471132857364,0.026926471132857364,0.026926471132857364,1,0.0,0.0,0.0,0.0,0.0,0.0
