scenario_id,design,policy_idx,alpha_on,alpha_off,gap_fraction,diffusion_objective,train_objective,train_objective_ci95_hw,holdout_objective,holdout_objective_ci95_hw,holdout_W,holdout_B_H,holdout_B_L,holdout_cloud_fraction,holdout_activation_rate,group
F27,factorial,169,36.0,34.0,0.05,5.390388165455089,4.520850059067039,0.0482017137648346,4.511520497235089,0.0324860498196751,0.6651596434272302,0.3235317424197904,0.2302126887243168,0.1420468311966532,0.2536666666666667,development
F27,factorial,170,36.0,36.0,0.0,5.553207403187386,4.646413508657075,0.039345497703407,4.645313372731157,0.0413536860238712,0.6811706638576459,0.333434395293259,0.2395902497749508,0.1232925260141803,0.2639259259259259,development
F27,factorial,171,38.0,2.0,0.9,4.086578084340023,3.346417965316445,0.0788383461778452,3.3737662995659528,0.0445985977174908,0.4965961350737471,0.2389110642477176,0.1690948554306099,0.2612895337540175,0.1806296296296296,development
F27,factorial,172,38.0,4.0,0.85,4.156759218344411,3.4170802764298607,0.0626392759872902,3.389370969225121,0.0365347872697009,0.4992881363052669,0.2401120856267585,0.1699801180849493,0.2560467257595837,0.1832222222222222,development
F27,factorial,173,38.0,6.0,0.8,4.18576544142337,3.4381950089499105,0.0587326531507605,3.4230404834071533,0.0386372139963179,0.5017391379170717,0.2430885368044649,0.1711685170231865,0.2499787395498637,0.1858518518518518,development
F27,factorial,174,38.0,8.0,0.75,4.21141633762664,3.4809067076262883,0.0549183613634496,3.47462542002875,0.0413953624222179,0.5094187065772541,0.2467673590943596,0.1748980573026105,0.2411519170054947,0.1866296296296296,development
F27,factorial,175,38.0,10.0,0.7,4.240899678907439,3.4907658153751604,0.0697660633550086,3.47390868622373,0.0457508784853697,0.5097918021728914,0.2468682803118423,0.1741703571030637,0.2400327526990228,0.1891851851851851,development
F27,factorial,176,38.0,12.0,0.65,4.2767814774611,3.601565594602237,0.0619697412305497,3.520065456298058,0.0436461463775416,0.5186382210444924,0.2499421455062444,0.1772485963788335,0.2355371569761475,0.1894074074074073,development
F27,factorial,177,38.0,14.0,0.6,4.320549510808932,3.5996764553074128,0.0622798637973747,3.5501628570486257,0.0439762710934151,0.5242232052142237,0.2521471782506247,0.1784217999206691,0.2336534781059233,0.1908518518518518,development
F27,factorial,178,38.0,16.0,0.55,4.373355890882141,3.612698087635871,0.0593944888137167,3.5845667071680314,0.0439865421987696,0.5302441041666923,0.2545211186153192,0.1808006190149081,0.2284394772435043,0.1942222222222221,development
F27,factorial,179,38.0,18.0,0.5,4.436234961544584,3.649754930890008,0.0611902418684417,3.702682824048408,0.0415997381660877,0.5465357443865831,0.2636630813230723,0.1859628301974023,0.2184367637503795,0.1968148148148148,development
