scenario_id,policy_idx,alpha_on,alpha_off,norm_W,norm_BH,norm_BL,norm_cloud
F04,89,26.0,24.0,0.5892738879701156,0.44854364641681926,0.34434859716553323,0.11821820482905587
F04,90,26.0,26.0,0.614637825255828,0.4521237352321412,0.36014167420890597,0.11758700961668934
F04,99,28.0,18.0,0.5868102950223638,0.4554917543161819,0.3799417911525619,0.12347765944026214
F04,101,28.0,22.0,0.6064665386281504,0.4657623359655819,0.3682092910928933,0.11691811910026298
F04,102,28.0,24.0,0.6332333266002735,0.495895502683264,0.3875991050347505,0.103235329032823
F04,103,28.0,26.0,0.6473328806594633,0.5061059371571898,0.4118176779049634,0.09730493809684317
F04,104,28.0,28.0,0.6728723055688981,0.5214361573283395,0.41539089260758855,0.09626577558585299
F04,113,30.0,18.0,0.6314401498338568,0.48297877281402934,0.4121259063970653,0.11422349045915027
F04,116,30.0,24.0,0.6779271526196513,0.5520930453229441,0.44794157161127335,0.08849109611117388
F04,117,30.0,26.0,0.6975033267305798,0.5500952886568806,0.4678065767524975,0.0853868490573355
F04,118,30.0,28.0,0.7244189432594492,0.598034320242753,0.4974865882939229,0.07693820504235216
F04,119,30.0,30.0,0.7441982447404877,0.6228674318875201,0.5280540795114234,0.06990759305176492
F04,130,32.0,22.0,0.7090373303251166,0.5942524501219676,0.5047966889727477,0.08462741141939853
F04,131,32.0,24.0,0.7254816673786116,0.6108013883674768,0.5254522108456675,0.07361347289963134
F04,132,32.0,26.0,0.757819333625074,0.6352819702663725,0.5622102672961912,0.0693959162386779
F04,133,32.0,28.0,0.7825469242301261,0.6579987178025443,0.5683878551145043,0.06424984567885036
F04,134,32.0,30.0,0.790498994445465,0.6789183574917195,0.5898879923981382,0.059328381089878306
F04,135,32.0,32.0,0.8104059313281304,0.7083792040083611,0.6143992205414336,0.05484139321830203
F04,143,34.0,16.0,0.7241282532722622,0.6396292561023774,0.5816675887005817,0.08084228018671213
F04,146,34.0,22.0,0.7684390122641629,0.6798559440420288,0.6007840022868128,0.06723838004531588
F04,147,34.0,24.0,0.7763850801167471,0.6763976882066499,0.6073216317382206,0.06270947636845342
