scenario_id,rho,qH,tau,policy_idx,alpha_on,alpha_off,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,n,viol_H,viol_L,upper_H,upper_L,certified
BG01,0.7,0.2,0.5,80,26.0,6.0,0.14090244056215478,0.12495981558985549,0.24241723788824943,0.4004595652513705,0.43682215093460786,150,149,145,0.99983122885689,0.9890898135310887,0
BG01,0.7,0.2,0.5,81,26.0,8.0,0.1431997377095694,0.12404872539970761,0.24087566432903748,0.39858303885605983,0.4347143885054154,150,148,141,0.9983811729701603,0.972200022205544,0
BG01,0.7,0.2,0.5,82,26.0,10.0,0.15020410404953943,0.13269582627691065,0.2443601381451408,0.3799959260814463,0.41664994680321743,150,150,146,1.0,0.9926874536019917,0
BG01,0.7,0.2,0.5,83,26.0,12.0,0.15310988878738693,0.13093413245516985,0.24543143391044903,0.37268526397681967,0.409499979063387,150,150,149,1.0,0.99983122885689,0
BG01,0.7,0.2,0.5,84,26.0,14.0,0.1569676071084903,0.13232134539626308,0.24712873036759084,0.36920316586903235,0.40627247542417094,150,150,148,1.0,0.9983811729701603,0
BG01,0.7,0.2,0.5,85,26.0,16.0,0.1564441075370132,0.13285609278489,0.2463655568320192,0.36998919888157206,0.40694403240637494,150,148,146,0.9983811729701603,0.9926874536019917,0
BG01,0.7,0.2,0.5,86,26.0,18.0,0.1570393011249063,0.13594177996611204,0.24843590005882513,0.3603142133671284,0.39757959837595214,150,150,146,1.0,0.9926874536019917,0
BG01,0.7,0.2,0.5,87,26.0,20.0,0.1623162717998906,0.13836257713374156,0.2486930511458551,0.35616189915872215,0.3934658568306005,150,150,147,1.0,0.9958563747187794,0
BG01,0.7,0.2,0.5,88,26.0,22.0,0.16566737406765927,0.14079976482602025,0.2502899350256896,0.3463664655109213,0.38390995576477477,150,150,147,1.0,0.9958563747187794,0
BG01,0.7,0.2,0.5,89,26.0,24.0,0.16423268326742654,0.13803142606235583,0.2504585165613484,0.35012967208513696,0.38769844956933924,150,150,149,1.0,0.99983122885689,0
BG01,0.7,0.2,0.5,90,26.0,26.0,0.1634614935375607,0.13971102755308504,0.25125030248136093,0.34036237219940346,0.37804991757160766,150,150,148,1.0,0.9983811729701603,0
BG01,0.7,0.2,0.5,91,28.0,2.0,0.14451825241684357,0.12087955563177753,0.24152528300150958,0.4130932734146914,0.44932206586491785,150,148,141,0.9983811729701603,0.972200022205544,0
BG01,0.7,0.2,0.5,92,28.0,4.0,0.14398405992038538,0.12380264450649345,0.24325688895309194,0.4080520119994367,0.4445405453424006,150,150,143,1.0,0.9810344303654225,0
BG01,0.7,0.2,0.5,93,28.0,6.0,0.14447307860412556,0.1272303635651975,0.24479297799416946,0.39480240909986086,0.4315213557989863,150,149,145,0.99983122885689,0.9890898135310887,0
BG01,0.7,0.2,0.5,94,28.0,8.0,0.144487116311384,0.12468564136751885,0.24198184147772886,0.3943774361766529,0.43067471239831223,150,148,144,0.9983811729701603,0.985181478885102,0
BG01,0.7,0.2,0.5,95,28.0,10.0,0.15275273911125598,0.1332710320113712,0.24620692040518066,0.37665395097331916,0.4135849890340963,150,150,147,1.0,0.9958563747187794,0
