original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio
BG05,0.7,0.5,200.0,0.55,0.8,0.5,joint_safer,4.214285714285714,0,1.3679637352502216
BG05,0.7,0.5,200.0,0.6,0.8,0.5,joint_boundary,4.142857142857143,24,0.689248916988643
BG05,0.7,0.5,200.0,0.65,0.8,0.5,joint_harder,4.071428571428571,0,2.2068978388264715
BG05,0.7,0.5,240.0,0.6,0.8,0.5,joint_safer,5.142857142857143,0,1.270838465960417
BG05,0.7,0.5,240.0,0.65,0.8,0.5,joint_boundary,5.071428571428571,15,0.2477477477477477
BG06,0.7,2.0,40.0,0.025,0.8,2.0,load_path,0.9642857142857143,-1,
BG06,0.7,2.0,40.0,0.05,0.8,2.0,joint_safer;load_path,0.9285714285714285,190,0.0
BG06,0.7,2.0,40.0,0.075,0.8,2.0,load_path,0.8928571428571429,-1,
BG06,0.7,2.0,40.0,0.1,0.8,2.0,joint_boundary;load_path,0.8571428571428572,14,0.914852070458209
BG06,0.7,2.0,40.0,0.125,0.8,2.0,load_path,0.8214285714285714,-1,
BG06,0.7,2.0,40.0,0.15,0.8,2.0,joint_harder;load_path,0.7857142857142857,0,2.717486023563148
BG06,0.7,2.0,40.0,0.2,0.8,2.0,load_path,0.7142857142857143,0,4.090352528073903
BG06,0.7,2.0,40.0,0.25,0.8,2.0,load_path,0.6428571428571428,0,6.080608159196544
BG06,0.7,2.0,40.0,0.3,0.8,2.0,load_path,0.5714285714285714,0,7.870802046558155
BG06,0.7,2.0,40.0,0.35,0.8,2.0,load_path,0.5,0,8.23527447613778
BG06,0.7,2.0,40.0,0.4,0.8,2.0,load_path,0.4285714285714285,0,7.686024504102573
BG06,0.7,2.0,40.0,0.45,0.8,2.0,load_path,0.3571428571428571,0,8.516258439718234
BG06,0.7,2.0,40.0,0.5,0.8,2.0,load_path,0.28571428571428564,0,8.196165165314422
BG06,0.7,2.0,40.0,0.55,0.8,2.0,load_path,0.21428571428571416,0,10.631524697128654
BG06,0.7,2.0,40.0,0.6,0.8,2.0,load_path,0.14285714285714282,0,8.71042669975449
BG06,0.7,2.0,40.0,0.65,0.8,2.0,load_path,0.07142857142857134,0,11.560322496594685
BG06,0.7,2.0,40.0,0.7,0.8,2.0,baseline;capacity_path;delay_path;load_path,0.0,0,13.489284852377512
BG06,0.7,2.0,60.0,0.7,0.8,2.0,capacity_path,0.5,0,8.129708965109785
BG06,0.7,2.0,80.0,0.7,0.8,2.0,capacity_path,1.0,0,7.90531454408408
BG06,0.7,2.0,100.0,0.7,0.8,2.0,capacity_path,1.5,0,7.738768706921322
BG06,0.7,2.0,120.0,0.7,0.8,2.0,capacity_path,2.0,0,7.148513344823036
BG06,0.7,2.0,160.0,0.7,0.8,2.0,capacity_path,3.0,0,2.8415630851053817
BG06,0.7,2.0,200.0,0.7,0.8,2.0,capacity_path,4.0,0,3.1375323527734498
BG06,0.7,2.0,240.0,0.7,0.8,2.0,capacity_path,5.0,0,1.5922758040417035
BG06,0.7,2.0,40.0,0.7,0.8,0.1,delay_path,0.95,0,9.63895428441452
BG06,0.7,2.0,40.0,0.7,0.8,0.25,delay_path,0.875,0,9.92869940292642
BG06,0.7,2.0,40.0,0.7,0.8,0.5,delay_path,0.75,0,10.019885475679514
BG06,0.7,2.0,40.0,0.7,0.8,1.0,delay_path,0.5,0,11.353551571123631
BG06,0.7,2.0,60.0,0.1,0.8,2.0,joint_safer,1.3571428571428572,190,0.2595637934638701
BG06,0.7,2.0,60.0,0.15,0.8,2.0,joint_boundary,1.2857142857142856,40,0.7550289029099121
BG06,0.7,2.0,60.0,0.2,0.8,2.0,joint_harder,1.2142857142857144,0,1.5792523292223155
BG06,0.7,2.0,80.0,0.2,0.8,2.0,joint_safer,1.7142857142857144,0,1.1410350436885557
BG06,0.7,2.0,80.0,0.25,0.8,2.0,joint_boundary,1.6428571428571428,8,0.6150580159081985
BG06,0.7,2.0,80.0,0.3,0.8,2.0,joint_harder,1.5714285714285714,0,1.439887366078829
BG06,0.7,2.0,100.0,0.15,0.8,2.0,joint_safer,2.2857142857142856,190,0.4075854507777015
BG06,0.7,2.0,100.0,0.2,0.8,2.0,joint_boundary,2.2142857142857144,190,0.379758981914329
BG06,0.7,2.0,100.0,0.25,0.8,2.0,joint_harder,2.142857142857143,0,1.1137707573742812
BG06,0.7,2.0,120.0,0.25,0.8,2.0,joint_safer,2.642857142857143,5,0.8255066436852283
BG06,0.7,2.0,120.0,0.3,0.8,2.0,joint_boundary,2.571428571428571,190,0.3958603058063881
BG06,0.7,2.0,120.0,0.35,0.8,2.0,joint_harder,2.5,0,1.395354492383005
BG06,0.7,2.0,160.0,0.45,0.8,2.0,joint_safer,3.357142857142857,0,1.317741710129977
BG06,0.7,2.0,160.0,0.5,0.8,2.0,joint_boundary,3.2857142857142856,2,0.7623852351595803
BG06,0.7,2.0,160.0,0.55,0.8,2.0,joint_harder,3.214285714285714,0,2.313838799504865
BG06,0.7,2.0,200.0,0.45,0.8,2.0,joint_safer,4.357142857142857,190,0.0675675675675675
BG06,0.7,2.0,200.0,0.5,0.8,2.0,joint_boundary,4.285714285714286,190,0.0841750841750841
BG06,0.7,2.0,200.0,0.55,0.8,2.0,joint_harder,4.214285714285714,0,1.1554468724033875
BG06,0.7,2.0,240.0,0.55,0.8,2.0,joint_safer,5.214285714285714,190,0.0
BG06,0.7,2.0,240.0,0.6,0.8,2.0,joint_boundary,5.142857142857143,62,0.3613945578231292
BG06,0.7,2.0,240.0,0.65,0.8,2.0,joint_harder,5.071428571428571,0,1.3377536172198885
BG07,0.9,0.5,40.0,0.025,0.2,0.5,load_path,0.9722222222222222,-1,
