original_scenario_id,base_rho,base_tau,K,rho,qH,tau,candidate_labels,intervention_index,coarse_mean_feasible_policies,coarse_min_max_mean_ratio,method,init_seed,selected_idx,selected_alpha_on,selected_alpha_off,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,viol_H,viol_L,upper_H,upper_L,certified
BG01,0.7,0.5,40.0,0.025,0.2,0.5,load_path,0.9642857142857143,-1,,Exhaustive-training,-1,1,4.0,2.0,0.0,0.0,0.024233567470858954,0.011193643715607843,0.014828678836236685,0,0,0.02429259716610854,0.02429259716610854,1
BG01,0.7,0.5,40.0,0.025,0.2,0.5,load_path,0.9642857142857143,-1,,DR-BGS,0,3,6.0,2.0,0.0,0.0,0.02427101420755158,0.0049058438108282925,0.00854649594196103,0,0,0.02429259716610854,0.02429259716610854,1
BG01,0.7,0.5,40.0,0.025,0.2,0.5,load_path,0.9642857142857143,-1,,DR-BGS,1,3,6.0,2.0,0.0,0.0,0.02427101420755158,0.0049058438108282925,0.00854649594196103,0,0,0.02429259716610854,0.02429259716610854,1
BG01,0.7,0.5,40.0,0.025,0.2,0.5,load_path,0.9642857142857143,-1,,DR-BGS,2,3,6.0,2.0,0.0,0.0,0.02427101420755158,0.0049058438108282925,0.00854649594196103,0,0,0.02429259716610854,0.02429259716610854,1
BG01,0.7,0.5,40.0,0.025,0.2,0.5,load_path,0.9642857142857143,-1,,DR-BGS,3,3,6.0,2.0,0.0,0.0,0.02427101420755158,0.0049058438108282925,0.00854649594196103,0,0,0.02429259716610854,0.02429259716610854,1
BG01,0.7,0.5,40.0,0.025,0.2,0.5,load_path,0.9642857142857143,-1,,DR-BGS,4,3,6.0,2.0,0.0,0.0,0.02427101420755158,0.0049058438108282925,0.00854649594196103,0,0,0.02429259716610854,0.02429259716610854,1
BG01,0.7,0.5,40.0,0.025,0.2,0.5,load_path,0.9642857142857143,-1,,Guarded-GP,0,2,4.0,4.0,0.0,0.0,0.024231777891187932,0.010926898308574556,0.014561664992252747,0,0,0.02429259716610854,0.02429259716610854,1
BG01,0.7,0.5,40.0,0.025,0.2,0.5,load_path,0.9642857142857143,-1,,Guarded-GP,1,2,4.0,4.0,0.0,0.0,0.024231777891187932,0.010926898308574556,0.014561664992252747,0,0,0.02429259716610854,0.02429259716610854,1
BG01,0.7,0.5,40.0,0.025,0.2,0.5,load_path,0.9642857142857143,-1,,Guarded-GP,2,2,4.0,4.0,0.0,0.0,0.024231777891187932,0.010926898308574556,0.014561664992252747,0,0,0.02429259716610854,0.02429259716610854,1
BG01,0.7,0.5,40.0,0.025,0.2,0.5,load_path,0.9642857142857143,-1,,Guarded-GP,3,5,6.0,6.0,0.0,0.0,0.024270652788913463,0.004638577797365507,0.008279175715702525,0,0,0.02429259716610854,0.02429259716610854,1
BG01,0.7,0.5,40.0,0.025,0.2,0.5,load_path,0.9642857142857143,-1,,Guarded-GP,4,2,4.0,4.0,0.0,0.0,0.024231777891187932,0.010926898308574556,0.014561664992252747,0,0,0.02429259716610854,0.02429259716610854,1
BG01,0.7,0.5,40.0,0.05,0.2,0.5,load_path,0.9285714285714285,190,0.0,Exhaustive-training,-1,6,8.0,2.0,0.00015793385358602748,5.454664465406518e-05,0.03568212024116079,0.030367112757599787,0.03571943079377391,0,0,0.02429259716610854,0.02429259716610854,1
