scenario_id,rho,qH,tau,policy_idx,alpha_on,alpha_off,n,viol_H,viol_L,upper_H,upper_L,certified,mean_B_H,mean_B_L,mean_W,mean_cloud_fraction,mean_op_cost,p95_B_H,p95_B_L
R15H01,0.7,0.2,0.5,20,12.0,12.0,150,131,73,0.9219854745695966,0.5695497845258534,0,0.0735002184946692,0.05632765101796922,0.22325793154280832,0.4519328321022932,0.4854215218337144,0.15519342872284042,0.11419886101277509
R15H01,0.7,0.2,0.5,21,14.0,2.0,150,133,67,0.9325758603520913,0.5299346538729368,0,0.06951874461510664,0.05587472860398633,0.218911483141834,0.4746125805211391,0.5074493029924143,0.15558035714285712,0.13012227833853476
R15H01,0.7,0.2,0.5,22,14.0,4.0,150,134,73,0.9377894259935293,0.5695497845258534,0,0.06741884765879301,0.05509885660657619,0.2181298876269363,0.4731332902295789,0.5058527733736194,0.14399585921325048,0.11694511758080472
R15H01,0.7,0.2,0.5,23,14.0,6.0,150,134,74,0.9377894259935293,0.5761031822988487,0,0.06848214390945687,0.05803737251033868,0.22181820825977383,0.45574291289926055,0.48901564413822657,0.1492051846417217,0.13420272245258638
R15H01,0.7,0.2,0.5,24,14.0,8.0,150,134,77,0.9377894259935293,0.5956794266936972,0,0.07264116069530877,0.06000366994785717,0.22664583222669782,0.4490438125505427,0.4830406873845473,0.15812987012987006,0.12444190972788007
R15H01,0.7,0.2,0.5,25,14.0,10.0,150,131,68,0.9219854745695966,0.536572414418704,0,0.07154479094746717,0.05606016562071344,0.22220936659342233,0.4527759873800096,0.48610739236902284,0.14516806722689068,0.129610446002109
R15H01,0.7,0.2,0.5,26,14.0,12.0,150,139,91,0.9628253852180945,0.685347369989403,0,0.08037269861995404,0.06697297728987063,0.2317416322835218,0.4229436394864887,0.45770488432901685,0.183646129151747,0.14382463690155994
R15H01,0.7,0.2,0.5,27,14.0,14.0,150,135,74,0.9429425651637531,0.5761031822988487,0,0.07137320037142345,0.05904884910081023,0.22696905769758846,0.4420900058265706,0.4761353644812088,0.1511984861227921,0.12416300506256565
R15H01,0.7,0.2,0.5,28,16.0,2.0,150,138,73,0.9579797352998276,0.5695497845258534,0,0.06902508588122118,0.05747102819992816,0.22391172564483636,0.4662644004565639,0.4998511593032894,0.15992578849721692,0.1297764140417131
R15H01,0.7,0.2,0.5,29,16.0,4.0,150,136,74,0.9480298277055218,0.5761031822988487,0,0.06816083957071652,0.05620342529688216,0.22123930556154883,0.46208992949347255,0.4952758253277049,0.14762452107279664,0.12291069567483044
R15H01,0.7,0.2,0.5,30,16.0,6.0,150,139,79,0.9628253852180945,0.6086602079182417,0,0.07178682790592134,0.06053536163916943,0.2285603416075435,0.4488485957031175,0.483132646944249,0.1797752808988764,0.1492051846417217
R15H01,0.7,0.2,0.5,31,16.0,8.0,150,139,80,0.9628253852180945,0.6151295176294747,0,0.07176599387777954,0.058200171546581504,0.2216992843540262,0.4455448188805137,0.4787997115336177,0.1506871345029238,0.13611605169830435
R15H01,0.7,0.2,0.5,32,16.0,10.0,150,134,75,0.9377894259935293,0.5826425897042657,0,0.06823630599007466,0.05688871293932177,0.22573352683915734,0.447359818573752,0.48121984759962555,0.16780055917986936,0.129935939142185
R15H01,0.7,0.2,0.5,33,16.0,12.0,150,131,85,0.9219854745695966,0.6472635343025096,0,0.07524243739137777,0.061144584025662876,0.23262222775764613,0.43242203018634984,0.4673153643499969,0.15855263157894733,0.12614135263680548
R15H01,0.7,0.2,0.5,34,16.0,14.0,150,140,91,0.9675702718413236,0.685347369989403,0,0.07761862096198321,0.06657224077595915,0.2404698420954782,0.41673038859276784,0.45280086490708965,0.16915674603174582,0.13996566111582912
R15H01,0.7,0.2,0.5,35,16.0,16.0,150,134,83,0.9377894259935293,0.6344526531092491,0,0.07610111287581117,0.06265751570166668,0.2318941498172381,0.4183288488818759,0.45311297135446166,0.17408585055643871,0.14215257204416915
R15H01,0.7,0.2,0.5,36,18.0,2.0,150,136,81,0.9480298277055218,0.6215847263116268,0,0.0725817344708208,0.060313400144948834,0.23257753687389424,0.45180299077522,0.4866896213063042,0.15205008255365987,0.12192547621699895
R15H01,0.7,0.2,0.5,37,18.0,4.0,150,135,90,0.9429425651637531,0.6790369902584646,0,0.07459518571619835,0.06522619971191114,0.23621425205635055,0.44938929096154556,0.4848214287699981,0.17769204092249,0.1363846051875745
